Query,Run 1,Run 2,Run 3,Average,Standard Deviation
1,16640.189886,16728.981972,16712.749004,16.693974,0.038604
2,4492.183924,4193.114996,4499.125242,4.394808,0.142647
3,32882.800817,29496.905327,27849.153042,30.076286,2.095418
4,12867.427826,12771.076202,12633.892775,12.757466,0.095825
5,39030.995846,37689.623117,36625.694036,37.782104,0.984135
6,4064.496279,4115.588903,3943.372965,4.041153,0.072219
7,37907.219887,39885.653019,40855.216026,39.549363,1.226781
8,49687.812090,49828.525066,50345.082045,49.953806,0.282574
9,82247.838974,88722.592115,82034.739256,84.335057,3.103676
10,51772.268057,51555.674791,51746.778965,51.691574,0.096657
11,4820.183039,4178.560019,3981.823921,4.326856,0.357962
12,19040.200949,18269.406080,18772.237062,18.693948,0.319508
13,55655.527830,56349.895000,54675.172091,55.560198,0.687018
14,6980.812073,7525.500298,6907.398939,7.137904,0.275706
15,13215.201139,13245.570183,13177.227020,13.212666,0.027959
16,12488.976955,12477.771997,12277.251005,12.414667,0.097275
17,14182.047129,14118.434668,14158.077955,14.152853,0.026231
18,80253.445148,80080.909252,77967.259169,79.433871,1.039441
19,13997.520924,12918.817043,14582.514048,13.832951,0.689098
20,37110.162735,38457.041979,42815.768003,39.460991,2.435079
21,44204.099178,47391.013145,45569.334984,45.721482,1.305493
22,9645.159960,10254.302979,9822.872877,9.907445,0.255771
